,tail,head,existing_f,fullname,fromname,toname,start,end,line,path_codes,dist,geometry
92,153,154,Protected Bike Lane,W 14TH AVE,N SPEER BLVD,W 14 AVENUE PKWY,POINT (-104.9889 39.7378),POINT (-104.9902 39.7384),"LINESTRING (-104.9889 39.7378, -104.9902 39.7384)",3,200.51,"LINESTRING (-104.9889 39.7378, -104.9902 39.7384)"
93,154,155,Protected Bike Lane,W 14TH AVE,N SPEER BLVD,W 14 AVENUE PKWY,POINT (-104.9902 39.7384),POINT (-104.9917 39.7384),"LINESTRING (-104.9902 39.7384, -104.9917 39.7384)",3,198.57,"LINESTRING (-104.9902 39.7384, -104.9917 39.7384)"
94,155,156,Protected Bike Lane,W 14TH AVE,N SPEER BLVD,W 14 AVENUE PKWY,POINT (-104.9917 39.7384),POINT (-104.9947 39.7385),"LINESTRING (-104.9917 39.7384, -104.9947 39.7385)",3,397.52,"LINESTRING (-104.9917 39.7384, -104.9947 39.7385)"
95,156,157,Protected Bike Lane,W 14TH AVE,N SPEER BLVD,W 14 AVENUE PKWY,POINT (-104.9947 39.7385),POINT (-104.9965 39.7385),"LINESTRING (-104.9947 39.7385, -104.9965 39.7385)",3,238.29,"LINESTRING (-104.9947 39.7385, -104.9965 39.7385)"
96,158,159,Shared Roadway,N FRANKLIN ST,E 21ST AVE,E 12TH AVE,POINT (-104.9678 39.7356),POINT (-104.9684 39.7416),"LINESTRING (-104.9678 39.7356, -104.9684 39.7416)",4,1031.96,"LINESTRING (-104.9678 39.7356, -104.9684 39.7416)"
97,159,160,Shared Roadway,N FRANKLIN ST,E 21ST AVE,E 12TH AVE,POINT (-104.9684 39.7416),POINT (-104.9684 39.7482),"LINESTRING (-104.9684 39.7416, -104.9684 39.7482)",4,1131.64,"LINESTRING (-104.9684 39.7416, -104.9684 39.7482)"
98,161,162,Buffered Bike Lane,E BUCHTEL BLVD,S COLORADO BLVD/E COLORADO CENTER DR,S UNIVERSITY BLVD,POINT (-104.9594 39.6828),POINT (-104.9508 39.6813),"LINESTRING (-104.9594 39.6828, -104.9508 39.6813)",1,1169.53,"LINESTRING (-104.9594 39.6828, -104.9508 39.6813)"
99,163,164,Buffered Bike Lane,E MARTIN LUTHER KING JR BLVD,N ROSLYN WAY/N ROSLYN ST,N CENTRAL BLVD,POINT (-104.900631247782 39.7609031257011),POINT (-104.899 39.7602),"LINESTRING (-104.900631247782 39.7609031257011, -104.899 39.7602)",1,247.22,"LINESTRING (-104.900631247782 39.7609031257011, -104.899 39.7602)"
100,164,165,Buffered Bike Lane,E MARTIN LUTHER KING JR BLVD,N ROSLYN WAY/N ROSLYN ST,N CENTRAL BLVD,POINT (-104.899 39.7602),POINT (-104.8964 39.7601),"LINESTRING (-104.899 39.7602, -104.8964 39.7601)",1,344.46,"LINESTRING (-104.899 39.7602, -104.8964 39.7601)"
101,165,166,Buffered Bike Lane,E MARTIN LUTHER KING JR BLVD,N ROSLYN WAY/N ROSLYN ST,N CENTRAL BLVD,POINT (-104.8964 39.7601),POINT (-104.8956 39.7601),"LINESTRING (-104.8964 39.7601, -104.8956 39.7601)",1,105.86,"LINESTRING (-104.8964 39.7601, -104.8956 39.7601)"
102,166,167,Buffered Bike Lane,E MARTIN LUTHER KING JR BLVD,N ROSLYN WAY/N ROSLYN ST,N CENTRAL BLVD,POINT (-104.8956 39.7601),POINT (-104.8926 39.7601),"LINESTRING (-104.8956 39.7601, -104.8926 39.7601)",1,396.96,"LINESTRING (-104.8956 39.7601, -104.8926 39.7601)"
103,167,168,Buffered Bike Lane,E MARTIN LUTHER KING JR BLVD,N ROSLYN WAY/N ROSLYN ST,N CENTRAL BLVD,POINT (-104.8926 39.7601),POINT (-104.8908 39.7601),"LINESTRING (-104.8926 39.7601, -104.8908 39.7601)",1,238.18,"LINESTRING (-104.8926 39.7601, -104.8908 39.7601)"
104,169,170,Shared Roadway,N TENNYSON ST,W 52ND AVE,W 26TH AVE,POINT (-105.044 39.7549),POINT (-105.044 39.7585),"LINESTRING (-105.044 39.7549, -105.044 39.7585)",4,616.98,"LINESTRING (-105.044 39.7549, -105.044 39.7585)"
105,170,171,Shared Roadway,N TENNYSON ST,W 52ND AVE,W 26TH AVE,POINT (-105.044 39.7585),POINT (-105.044 39.7657),"LINESTRING (-105.044 39.7585, -105.044 39.7657)",4,1233.83,"LINESTRING (-105.044 39.7585, -105.044 39.7657)"
106,171,172,Shared Roadway,N TENNYSON ST,W 52ND AVE,W 26TH AVE,POINT (-105.044 39.7657),POINT (-105.044 39.7802),"LINESTRING (-105.044 39.7657, -105.044 39.7802)",4,2484.27,"LINESTRING (-105.044 39.7657, -105.044 39.7802)"
107,172,173,Shared Roadway,N TENNYSON ST,W 52ND AVE,W 26TH AVE,POINT (-105.044 39.7802),POINT (-105.0439 39.7836),"LINESTRING (-105.044 39.7802, -105.0439 39.7836)",4,582.56,"LINESTRING (-105.044 39.7802, -105.0439 39.7836)"
108,173,174,Shared Roadway,N TENNYSON ST,W 52ND AVE,W 26TH AVE,POINT (-105.0439 39.7836),POINT (-105.0439 39.7874),"LINESTRING (-105.0439 39.7836, -105.0439 39.7874)",4,650.89,"LINESTRING (-105.0439 39.7836, -105.0439 39.7874)"
109,174,175,Shared Roadway,N TENNYSON ST,W 52ND AVE,W 26TH AVE,POINT (-105.0439 39.7874),POINT (-105.044 39.7895),"LINESTRING (-105.0439 39.7874, -105.044 39.7895)",4,359.92,"LINESTRING (-105.0439 39.7874, -105.044 39.7895)"
110,175,176,Shared Roadway,N TENNYSON ST,W 52ND AVE,W 26TH AVE,POINT (-105.044 39.7895),POINT (-105.0439 39.7911),"LINESTRING (-105.044 39.7895, -105.0439 39.7911)",4,274.35,"LINESTRING (-105.044 39.7895, -105.0439 39.7911)"
111,177,178,Shared Roadway,W 23RD AVE,N LOWELL BLVD,N STUART ST,POINT (-105.0393 39.7512),POINT (-105.0428 39.7512),"LINESTRING (-105.0393 39.7512, -105.0428 39.7512)",4,463.07,"LINESTRING (-105.0393 39.7512, -105.0428 39.7512)"
112,180,181,Bike Lane,E 35TH AVE,N BOSTON ST,N TRENTON ST,POINT (-104.8961 39.7652),POINT (-104.8944 39.7652),"LINESTRING (-104.8961 39.7652, -104.8944 39.7652)",0,224.9,"LINESTRING (-104.8961 39.7652, -104.8944 39.7652)"
113,181,182,Bike Lane,E 35TH AVE,N BOSTON ST,N TRENTON ST,POINT (-104.8944 39.7652),POINT (-104.8905 39.7651),"LINESTRING (-104.8944 39.7652, -104.8905 39.7651)",0,516.25,"LINESTRING (-104.8944 39.7652, -104.8905 39.7651)"
114,182,183,Bike Lane,E 35TH AVE,N BOSTON ST,N TRENTON ST,POINT (-104.8905 39.7651),POINT (-104.8883 39.7651),"LINESTRING (-104.8905 39.7651, -104.8883 39.7651)",0,291.06,"LINESTRING (-104.8905 39.7651, -104.8883 39.7651)"
115,183,184,Bike Lane,E 35TH AVE,N BOSTON ST,N TRENTON ST,POINT (-104.8883 39.7651),POINT (-104.8874 39.7651),"LINESTRING (-104.8883 39.7651, -104.8874 39.7651)",0,119.07,"LINESTRING (-104.8883 39.7651, -104.8874 39.7651)"
116,184,185,Bike Lane,E 35TH AVE,N BOSTON ST,N TRENTON ST,POINT (-104.8874 39.7651),POINT (-104.8836 39.7651),"LINESTRING (-104.8874 39.7651, -104.8836 39.7651)",0,502.74,"LINESTRING (-104.8874 39.7651, -104.8836 39.7651)"
117,185,186,Bike Lane,E 35TH AVE,N BOSTON ST,N TRENTON ST,POINT (-104.8836 39.7651),POINT (-104.8818 39.7651),"LINESTRING (-104.8836 39.7651, -104.8818 39.7651)",0,238.14,"LINESTRING (-104.8836 39.7651, -104.8818 39.7651)"
118,186,187,Bike Lane,E 35TH AVE,N BOSTON ST,N TRENTON ST,POINT (-104.8818 39.7651),POINT (-104.8798 39.7651),"LINESTRING (-104.8818 39.7651, -104.8798 39.7651)",0,264.6,"LINESTRING (-104.8818 39.7651, -104.8798 39.7651)"
119,187,188,Bike Lane,E 35TH AVE,N BOSTON ST,N TRENTON ST,POINT (-104.8798 39.7651),POINT (-104.8786 39.7651),"LINESTRING (-104.8798 39.7651, -104.8786 39.7651)",0,158.76,"LINESTRING (-104.8798 39.7651, -104.8786 39.7651)"
120,188,189,Bike Lane,E 35TH AVE,N BOSTON ST,N TRENTON ST,POINT (-104.8786 39.7651),POINT (-104.8779 39.7651),"LINESTRING (-104.8786 39.7651, -104.8779 39.7651)",0,92.61,"LINESTRING (-104.8786 39.7651, -104.8779 39.7651)"
121,191,192,Bike Lane,E 23RD AVE,CITY PARK RD,MEDIAN,POINT (-104.95205 39.7512000000107),POINT (-104.9488 39.7512),"LINESTRING (-104.95205 39.7512000000107, -104.9488 39.7512)",0,430.1,"LINESTRING (-104.95205 39.7512000000107, -104.9488 39.7512)"
122,192,193,Bike Lane,E 23RD AVE,CITY PARK RD,MEDIAN,POINT (-104.9488 39.7512),POINT (-104.9473 39.7512),"LINESTRING (-104.9488 39.7512, -104.9473 39.7512)",0,198.51,"LINESTRING (-104.9488 39.7512, -104.9473 39.7512)"
123,193,194,Bike Lane,E 23RD AVE,CITY PARK RD,MEDIAN,POINT (-104.9473 39.7512),POINT (-104.9457 39.7511),"LINESTRING (-104.9473 39.7512, -104.9457 39.7511)",0,212.44,"LINESTRING (-104.9473 39.7512, -104.9457 39.7511)"
124,194,195,Bike Lane,E 23RD AVE,CITY PARK RD,MEDIAN,POINT (-104.9457 39.7511),POINT (-104.9406 39.751),"LINESTRING (-104.9457 39.7511, -104.9406 39.751)",0,675.17,"LINESTRING (-104.9457 39.7511, -104.9406 39.751)"
125,129,196,Bike Lane,E DARTMOUTH AVE,E CORNELL DR/S XENIA ST/S WILDING CT,S TAMARAC DR,POINT (-104.900899995038 39.65949259628),POINT (-104.89 39.6603),"LINESTRING (-104.900899995038 39.65949259628, -104.89 39.6603)",0,1453.91,"LINESTRING (-104.900899995038 39.65949259628, -104.89 39.6603)"
126,198,199,Bike Lane,CITY PARK ESPLANADE,E 16TH AVE,E 17TH AVE,POINT (-104.9568 39.7416),POINT (-104.9568 39.7438),"LINESTRING (-104.9568 39.7416, -104.9568 39.7438)",0,377.24,"LINESTRING (-104.9568 39.7416, -104.9568 39.7438)"
127,201,202,Shared Use Path,E ALAMEDA AVE,S GALENA WAY/COLI,E FAIRMOUNT DR,POINT (-104.892833333462 39.7112666667048),POINT (-104.8842 39.7071),"LINESTRING (-104.892833333462 39.7112666667048, -104.8842 39.7071)",5,1349.44,"LINESTRING (-104.892833333462 39.7112666667048, -104.8842 39.7071)"
128,202,203,Shared Use Path,E ALAMEDA AVE,S GALENA WAY/COLI,E FAIRMOUNT DR,POINT (-104.8842 39.7071),POINT (-104.8707 39.7101),"LINESTRING (-104.8842 39.7071, -104.8707 39.7101)",5,1862.18,"LINESTRING (-104.8842 39.7071, -104.8707 39.7101)"
129,204,205,Shared Use Path,E 1ST AVE/N STEELE ST,E 1ST AVE,E BAYAUD AVE/E CHERRY CREEK NORTH DR,POINT (-104.951100000145 39.7180333333619),POINT (-104.950399999928 39.7175500000429),"LINESTRING (-104.951100000145 39.7180333333619, -104.950399999928 39.7175500000429)",5,124.41,"LINESTRING (-104.951100000145 39.7180333333619, -104.950399999928 39.7175500000429)"
130,205,206,Shared Use Path,E 1ST AVE/N STEELE ST,E 1ST AVE,E BAYAUD AVE/E CHERRY CREEK NORTH DR,POINT (-104.950399999928 39.7175500000429),POINT (-104.949850000217 39.7171000000965),"LINESTRING (-104.950399999928 39.7175500000429, -104.949850000217 39.7171000000965)",5,106.16,"LINESTRING (-104.950399999928 39.7175500000429, -104.949850000217 39.7171000000965)"
131,206,207,Shared Use Path,E 1ST AVE/N STEELE ST,E 1ST AVE,E BAYAUD AVE/E CHERRY CREEK NORTH DR,POINT (-104.949850000217 39.7171000000965),POINT (-104.95 39.7161),"LINESTRING (-104.949850000217 39.7171000000965, -104.95 39.7161)",5,172.71,"LINESTRING (-104.949850000217 39.7171000000965, -104.95 39.7161)"
132,207,208,Shared Use Path,E 1ST AVE/N STEELE ST,E 1ST AVE,E BAYAUD AVE/E CHERRY CREEK NORTH DR,POINT (-104.95 39.7161),POINT (-104.953445867539 39.7148102496787),"LINESTRING (-104.95 39.7161, -104.953445867539 39.7148102496787)",5,507.38,"LINESTRING (-104.95 39.7161, -104.953445867539 39.7148102496787)"
133,209,84,Shared Use Path,PARK AVE W,WALNUT ST/MARKET ST,N GLOBEVILLE RD,POINT (-104.9935 39.7594),POINT (-104.995 39.7657),"LINESTRING (-104.9935 39.7594, -104.995 39.7657)",5,1097.83,"LINESTRING (-104.9935 39.7594, -104.995 39.7657)"
134,210,211,Shared Roadway,N PONTIAC ST,E MARTIN LUTHER KING BLVD,E 26TH AVE,POINT (-104.9058 39.7547),POINT (-104.9058 39.7584),"LINESTRING (-104.9058 39.7547, -104.9058 39.7584)",4,634.37,"LINESTRING (-104.9058 39.7547, -104.9058 39.7584)"
135,211,212,Shared Roadway,N PONTIAC ST,E MARTIN LUTHER KING BLVD,E 26TH AVE,POINT (-104.9058 39.7584),POINT (-104.9058 39.7619),"LINESTRING (-104.9058 39.7584, -104.9058 39.7619)",4,600.04,"LINESTRING (-104.9058 39.7584, -104.9058 39.7619)"
136,215,216,Shared Roadway,N SAINT PAUL ST,E COLFAX AVE,E 7TH AVE PWKY,POINT (-104.95075 39.7272000000965),POINT (-104.9506 39.7278),"LINESTRING (-104.95075 39.7272000000965, -104.9506 39.7278)",4,104.82,"LINESTRING (-104.95075 39.7272000000965, -104.9506 39.7278)"
137,216,217,Shared Roadway,N SAINT PAUL ST,E COLFAX AVE,E 7TH AVE PWKY,POINT (-104.9506 39.7278),POINT (-104.9506 39.7351),"LINESTRING (-104.9506 39.7278, -104.9506 39.7351)",4,1252.07,"LINESTRING (-104.9506 39.7278, -104.9506 39.7351)"
138,217,218,Shared Roadway,N SAINT PAUL ST,E COLFAX AVE,E 7TH AVE PWKY,POINT (-104.9506 39.7351),POINT (-104.9506 39.7384),"LINESTRING (-104.9506 39.7351, -104.9506 39.7384)",4,565.94,"LINESTRING (-104.9506 39.7351, -104.9506 39.7384)"
139,219,17,Buffered Bike Lane,E EASTMOOR DR,E QUINCY AVE/S QUEBEC ST,S ONEIDA ST,POINT (-104.9067 39.6407),POINT (-104.905250000036 39.6405500000107),"LINESTRING (-104.9067 39.6407, -104.905250000036 39.6405500000107)",1,194.37,"LINESTRING (-104.9067 39.6407, -104.905250000036 39.6405500000107)"
140,220,221,Shared Roadway,N BROADWAY,21ST ST,CHAMPA ST,POINT (-104.987199999565 39.7506500001716),POINT (-104.9874 39.7516),"LINESTRING (-104.987199999565 39.7506500001716, -104.9874 39.7516)",4,165.0,"LINESTRING (-104.987199999565 39.7506500001716, -104.9874 39.7516)"
141,222,223,Shared Roadway,E 22ND AVE,N VINE ST,N GAYLORD ST,POINT (-104.9622 39.7495),POINT (-104.961 39.7495),"LINESTRING (-104.9622 39.7495, -104.961 39.7495)",4,158.81,"LINESTRING (-104.9622 39.7495, -104.961 39.7495)"
142,53,224,Shared Roadway,CHEESMAN PARK 5,CHEESMAN PARK 2/E 8TH AVE/N WILLIAMS ST,CHEESMAN PARK 3,POINT (-104.9659 39.7291),POINT (-104.9664 39.7297),"LINESTRING (-104.9659 39.7291, -104.9664 39.7297)",4,122.37,"LINESTRING (-104.9659 39.7291, -104.9664 39.7297)"
143,225,226,Shared Roadway,N KRAMERIA ST,E MONTVIEW BLVD,E 16TH AVE,POINT (-104.9163 39.7419),POINT (-104.9163 39.7474),"LINESTRING (-104.9163 39.7419, -104.9163 39.7474)",4,943.18,"LINESTRING (-104.9163 39.7419, -104.9163 39.7474)"
144,227,228,Shared Roadway,MARKET ST,19TH ST,W PARK AVE,POINT (-104.9947 39.7527),POINT (-104.9922 39.7546),"LINESTRING (-104.9947 39.7527, -104.9922 39.7546)",4,464.21,"LINESTRING (-104.9947 39.7527, -104.9922 39.7546)"
145,204,215,Shared Roadway,N SAINT PAUL ST,E 7TH AVENUE PKWY,E 1ST AVE,POINT (-104.951100000145 39.7180333333619),POINT (-104.95075 39.7272000000965),"LINESTRING (-104.951100000145 39.7180333333619, -104.95075 39.7272000000965)",4,1573.19,"LINESTRING (-104.951100000145 39.7180333333619, -104.95075 39.7272000000965)"
146,229,230,Shared Roadway,15TH ST,WYNKOOP ST,WEWATTA ST/RRX,POINT (-105.0021 39.751),POINT (-105.003 39.7516),"LINESTRING (-105.0021 39.751, -105.003 39.7516)",4,157.36,"LINESTRING (-105.0021 39.751, -105.003 39.7516)"
147,233,234,Shared Roadway,S MONACO STREET PKWY,E CEDAR AVE,E ALAMEDA AVE,POINT (-104.9128 39.7131),POINT (-104.9129 39.7113),"LINESTRING (-104.9128 39.7131, -104.9129 39.7113)",4,309.16,"LINESTRING (-104.9128 39.7131, -104.9129 39.7113)"
148,235,236,Shared Roadway,N ADAMS ST,E COLFAX AVE,E 12TH AVE,POINT (-104.9484 39.7351),POINT (-104.9484 39.7387),"LINESTRING (-104.9484 39.7351, -104.9484 39.7387)",4,617.39,"LINESTRING (-104.9484 39.7351, -104.9484 39.7387)"
149,236,237,Shared Roadway,N ADAMS ST,E COLFAX AVE,E 12TH AVE,POINT (-104.9484 39.7387),POINT (-104.9486 39.7402000001716),"LINESTRING (-104.9484 39.7387, -104.9486 39.7402000001716)",4,258.59,"LINESTRING (-104.9484 39.7387, -104.9486 39.7402000001716)"
150,238,239,Shared Roadway,N CHEROKEE ST,W 13TH AVE,W 10TH AVE,POINT (-104.9917 39.7321),POINT (-104.9916 39.7339),"LINESTRING (-104.9917 39.7321, -104.9916 39.7339)",4,308.97,"LINESTRING (-104.9917 39.7321, -104.9916 39.7339)"
151,239,240,Shared Roadway,N CHEROKEE ST,W 13TH AVE,W 10TH AVE,POINT (-104.9916 39.7339),POINT (-104.9917 39.7353),"LINESTRING (-104.9916 39.7339, -104.9917 39.7353)",4,240.44,"LINESTRING (-104.9916 39.7339, -104.9917 39.7353)"
152,240,241,Shared Roadway,N CHEROKEE ST,W 13TH AVE,W 10TH AVE,POINT (-104.9917 39.7353),POINT (-104.9916 39.7369),"LINESTRING (-104.9917 39.7353, -104.9916 39.7369)",4,274.69,"LINESTRING (-104.9917 39.7353, -104.9916 39.7369)"
153,48,242,Shared Roadway,E FLORIDA AVE,S ULSTER ST,S QUEBEC ST,POINT (-104.90355 39.6894000000107),POINT (-104.894449984651 39.6889733367406),"LINESTRING (-104.90355 39.6894000000107, -104.894449984651 39.6889733367406)",4,1209.27,"LINESTRING (-104.90355 39.6894000000107, -104.894449984651 39.6889733367406)"
154,242,243,Shared Roadway,E FLORIDA AVE,S ULSTER ST,S QUEBEC ST,POINT (-104.894449984651 39.6889733367406),POINT (-104.8941 39.6894),"LINESTRING (-104.894449984651 39.6889733367406, -104.8941 39.6894)",4,86.72,"LINESTRING (-104.894449984651 39.6889733367406, -104.8941 39.6894)"
155,244,245,Shared Roadway,W BYERS PL,S LIPAN ST,S TEJON ST,POINT (-105.0016 39.7121),POINT (-105.011 39.7122),"LINESTRING (-105.0016 39.7121, -105.011 39.7122)",4,1245.59,"LINESTRING (-105.0016 39.7121, -105.011 39.7122)"
156,246,247,Shared Roadway,S BONNIE BRAE BLVD,S UNIVERSITY BLVD/E EXPOSITION AVE,S STEELE ST/E MISSISSIPPI AVE,POINT (-104.9594 39.7039),POINT (-104.95 39.6966),"LINESTRING (-104.9594 39.7039, -104.95 39.6966)",4,1767.06,"LINESTRING (-104.9594 39.7039, -104.95 39.6966)"
157,248,249,Shared Roadway,MILE HIGH STADIUM WEST CIR,W 20TH AVE,MORRISON RD/N DECATUR ST,POINT (-105.021724999837 39.7408500000939),POINT (-105.0237 39.744),"LINESTRING (-105.021724999837 39.7408500000939, -105.0237 39.744)",4,599.98,"LINESTRING (-105.021724999837 39.7408500000939, -105.0237 39.744)"
158,249,250,Shared Roadway,MILE HIGH STADIUM WEST CIR,W 20TH AVE,MORRISON RD/N DECATUR ST,POINT (-105.0237 39.744),POINT (-105.0234 39.7474),"LINESTRING (-105.0237 39.744, -105.0234 39.7474)",4,584.22,"LINESTRING (-105.0237 39.744, -105.0234 39.7474)"
159,252,253,Shared Roadway,N PECOS ST,W 35TH AVE,W 32ND AVE,POINT (-105.0064 39.762),POINT (-105.0064 39.7656),"LINESTRING (-105.0064 39.762, -105.0064 39.7656)",4,616.96,"LINESTRING (-105.0064 39.762, -105.0064 39.7656)"
160,220,255,Shared Roadway,21ST ST,E 20TH AVE,BLAKE ST,POINT (-104.987199999565 39.7506500001716),POINT (-104.9879 39.7512),"LINESTRING (-104.987199999565 39.7506500001716, -104.9879 39.7512)",4,132.17,"LINESTRING (-104.987199999565 39.7506500001716, -104.9879 39.7512)"
161,255,256,Shared Roadway,21ST ST,E 20TH AVE,BLAKE ST,POINT (-104.9879 39.7512),POINT (-104.9896 39.7525),"LINESTRING (-104.9879 39.7512, -104.9896 39.7525)",4,316.65,"LINESTRING (-104.9879 39.7512, -104.9896 39.7525)"
162,256,257,Shared Roadway,21ST ST,E 20TH AVE,BLAKE ST,POINT (-104.9896 39.7525),POINT (-104.9905 39.7532),"LINESTRING (-104.9896 39.7525, -104.9905 39.7532)",4,169.06,"LINESTRING (-104.9896 39.7525, -104.9905 39.7532)"
163,257,258,Shared Roadway,21ST ST,E 20TH AVE,BLAKE ST,POINT (-104.9905 39.7532),POINT (-104.9914 39.7539),"LINESTRING (-104.9905 39.7532, -104.9914 39.7539)",4,169.05,"LINESTRING (-104.9905 39.7532, -104.9914 39.7539)"
164,258,228,Shared Roadway,21ST ST,E 20TH AVE,BLAKE ST,POINT (-104.9914 39.7539),POINT (-104.9922 39.7546),"LINESTRING (-104.9914 39.7539, -104.9922 39.7546)",4,160.01,"LINESTRING (-104.9914 39.7539, -104.9922 39.7546)"
165,228,259,Shared Roadway,21ST ST,E 20TH AVE,BLAKE ST,POINT (-104.9922 39.7546),POINT (-104.9931 39.7552),"LINESTRING (-104.9922 39.7546, -104.9931 39.7552)",4,157.34,"LINESTRING (-104.9922 39.7546, -104.9931 39.7552)"
166,53,261,Shared Roadway,CHEESMAN PARK 2,E 11TH AVE/NMCHG,E 8TH AVE,POINT (-104.9659 39.7291),POINT (-104.9655 39.7297),"LINESTRING (-104.9659 39.7291, -104.9655 39.7297)",4,115.74,"LINESTRING (-104.9659 39.7291, -104.9655 39.7297)"
167,262,263,Shared Roadway,W ALASKA PL,S BANNOCK ST,S CHEROKEE ST/NMCHG,POINT (-104.99 39.7085),POINT (-104.9924 39.7084),"LINESTRING (-104.99 39.7085, -104.9924 39.7084)",4,318.51,"LINESTRING (-104.99 39.7085, -104.9924 39.7084)"
168,244,264,Shared Roadway,S LIPAN ST,W BYERS PL,W ALAMEDA AVE,POINT (-105.0016 39.7121),POINT (-105.0016 39.7112),"LINESTRING (-105.0016 39.7121, -105.0016 39.7112)",4,154.4,"LINESTRING (-105.0016 39.7121, -105.0016 39.7112)"
169,265,266,Shared Roadway,S ONEIDA ST,S POPLAR ST/E MANSFIELD AVE,E PRINCETON AVE,POINT (-104.9054 39.6459),POINT (-104.9087 39.64085),"LINESTRING (-104.9054 39.6459, -104.9087 39.64085)",4,972.24,"LINESTRING (-104.9054 39.6459, -104.9087 39.64085)"
170,268,269,Shared Roadway,WELTON ST,30TH ST,N DOWNING ST/E 29TH AVE,POINT (-104.9744 39.7576),POINT (-104.9736 39.7582),"LINESTRING (-104.9744 39.7576, -104.9736 39.7582)",4,147.58,"LINESTRING (-104.9744 39.7576, -104.9736 39.7582)"
171,270,271,Shared Roadway,E 29TH AVE,N QUEBEC ST,E 29TH PL,POINT (-104.903449999855 39.7582000000107),POINT (-104.900820000337 39.7582600001613),"LINESTRING (-104.903449999855 39.7582000000107, -104.900820000337 39.7582600001613)",4,348.17,"LINESTRING (-104.903449999855 39.7582000000107, -104.900820000337 39.7582600001613)"
172,273,274,Shared Use Path,AURARIA PKWY,14TH ST,7TH ST,POINT (-105.0037 39.7477),POINT (-105.0043 39.7478),"LINESTRING (-105.0037 39.7477, -105.0043 39.7478)",5,81.23,"LINESTRING (-105.0037 39.7477, -105.0043 39.7478)"
173,274,275,Shared Use Path,AURARIA PKWY,14TH ST,7TH ST,POINT (-105.0043 39.7478),POINT (-105.0053 39.7474),"LINESTRING (-105.0043 39.7478, -105.0053 39.7474)",5,149.05,"LINESTRING (-105.0043 39.7478, -105.0053 39.7474)"
174,275,260,Shared Use Path,AURARIA PKWY,14TH ST,7TH ST,POINT (-105.0053 39.7474),POINT (-105.0095 39.7451),"LINESTRING (-105.0053 39.7474, -105.0095 39.7451)",5,681.49,"LINESTRING (-105.0053 39.7474, -105.0095 39.7451)"
175,276,277,Shared Use Path,N CENTRAL PARK BLVD,E 40TH AVE,E 37TH PL,POINT (-104.8828 39.7746),POINT (-104.885959999861 39.7711400000446),"LINESTRING (-104.8828 39.7746, -104.885959999861 39.7711400000446)",5,725.55,"LINESTRING (-104.8828 39.7746, -104.885959999861 39.7711400000446)"
176,277,278,Shared Use Path,N CENTRAL PARK BLVD,E 40TH AVE,E 37TH PL,POINT (-104.885959999861 39.7711400000446),POINT (-104.8893 39.7694),"LINESTRING (-104.885959999861 39.7711400000446, -104.8893 39.7694)",5,533.06,"LINESTRING (-104.885959999861 39.7711400000446, -104.8893 39.7694)"
177,279,280,Buffered Bike Lane,BOULDER ST,N UMATILLA ST/15TH ST/W 29TH AVE,16TH ST,POINT (-105.0118 39.7584),POINT (-105.0105 39.7593),"LINESTRING (-105.0118 39.7584, -105.0105 39.7593)",1,231.01,"LINESTRING (-105.0118 39.7584, -105.0105 39.7593)"
178,281,282,Bike Lane,N BANNOCK ST,W 13TH AVE,W 9TH AVE,POINT (-104.9902 39.7339),POINT (-104.9902 39.7353),"LINESTRING (-104.9902 39.7339, -104.9902 39.7353)",0,240.08,"LINESTRING (-104.9902 39.7339, -104.9902 39.7353)"
179,282,283,Bike Lane,N BANNOCK ST,W 13TH AVE,W 9TH AVE,POINT (-104.9902 39.7353),POINT (-104.9902 39.7369),"LINESTRING (-104.9902 39.7353, -104.9902 39.7369)",0,274.37,"LINESTRING (-104.9902 39.7353, -104.9902 39.7369)"
180,284,107,Bike Lane,E 26TH AVE,N QUEBEC ST,N COLORADO BLVD,POINT (-104.9406 39.7547),POINT (-104.9317 39.7547),"LINESTRING (-104.9406 39.7547, -104.9317 39.7547)",0,1177.73,"LINESTRING (-104.9406 39.7547, -104.9317 39.7547)"
181,107,121,Bike Lane,E 26TH AVE,N QUEBEC ST,N COLORADO BLVD,POINT (-104.9317 39.7547),POINT (-104.9163 39.7547),"LINESTRING (-104.9317 39.7547, -104.9163 39.7547)",0,2037.94,"LINESTRING (-104.9317 39.7547, -104.9163 39.7547)"
